vendor_id,legal_name,trading_name,vendor_type,country,market,currency,tax_id,registration_id,primary_contact,contact_email,payment_terms,incoterms,lead_time_days,minimum_order_quantity,return_terms,bank_information_status,document_type,document_status,document_issue_date,document_expiry_date,insurance_status,ethical_trade_status,sustainability_status,vendor_authorization,submitted_at,onboarding_owner,compliance_owner,commercial_owner,lifecycle_status,revision_number,source_business_unit,planned_purchase_value,value_currency,planned_item_count,strategic_tier,planned_launch_date,downstream_dependency,approved_at
VENDOR-DEMO-0001,Fictional Supplier 0001,Fictional Supplier 0001,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0001,DEMO-NOT-VALID-REG-0001,Fictional Contact 1,demo1@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0002,Fictional Supplier 0002,Fictional Supplier 0002,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0002,DEMO-NOT-VALID-REG-0002,Fictional Contact 2,demo2@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0003,Fictional Supplier 0003,Fictional Supplier 0003,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0003,DEMO-NOT-VALID-REG-0003,Fictional Contact 3,demo3@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0004,Fictional Supplier 0004,Fictional Supplier 0004,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0004,DEMO-NOT-VALID-REG-0004,Fictional Contact 4,demo4@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0005,Fictional Supplier 0005,Fictional Supplier 0005,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0005,DEMO-NOT-VALID-REG-0005,Fictional Contact 5,demo5@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0006,Fictional Supplier 0006,Fictional Supplier 0006,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0006,DEMO-NOT-VALID-REG-0006,Fictional Contact 6,demo6@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0007,Fictional Supplier 0007,Fictional Supplier 0007,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0007,DEMO-NOT-VALID-REG-0007,Fictional Contact 7,demo7@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0008,Fictional Supplier 0008,Fictional Supplier 0008,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0008,DEMO-NOT-VALID-REG-0008,Fictional Contact 8,demo8@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0009,Fictional Supplier 0009,Fictional Supplier 0009,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0009,DEMO-NOT-VALID-REG-0009,Fictional Contact 9,demo9@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0010,Fictional Supplier 0010,Fictional Supplier 0010,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0010,DEMO-NOT-VALID-REG-0010,Fictional Contact 10,demo10@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
VENDOR-DEMO-0011,Fictional Supplier 0011,Fictional Supplier 0011,Manufacturer,India,IN,INR,DEMO-NOT-VALID-TAX-0011,DEMO-NOT-VALID-REG-0011,Fictional Contact 11,demo11@example.com,Net 45,FOB,30,24,Defects accepted within 30 days,Verified,Business registration,Approved,2026-08-21,2027-09-20,Valid,Approved,Current,Approved,2026-09-20T15:20:08.334157+00:00,Vendor Operations,Compliance,Buying,Received,1,Fashion,39000,INR,1,Core,2026-11-19,Catalog and PO,
